Sample ID,SiO2,Si_err,Al2O3,Al_err,MgO,Mg_err,Na2O,Na_err,F,F_err,CaO,Ca_err,Cl,Cl_err,SO3,S_err,P2O5,P_err,Cr2O3,Cr_err,MnO,Mn_err,FeO,Fe_err,K2O,K_err,TiO2,Ti_err,Total,Si(L-value),Al(L-value),Mg(L-value),Na(L-value),Na(L-value),F(L-value),Na(L-value),Ca(L-value),Cl(L-value),S(L-value),P(L-value),Cr(L-value),Mn(L-value),Fe(L-value),Current
PRISPST_glass 32,52.8462,0.45,16.776,0.56,4.7835,1.04,3.3136,3.60,0,NA,8.0887,0.69,0.032,38.46,0,NA,0.4312,7.99,0.0334,75.65,0.1778,12.92,9.8379,0.97,1.3012,1.80,1.1968,1.93,98.8183,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
PRISPST_glass 33,52.9048,0.45,16.8502,0.56,4.7228,1.04,3.344,3.58,0.0245,356.03,7.9718,0.70,0.033,37.42,0.0918,43.02,0.2714,11.14,0,NA,0.1719,13.30,9.8507,0.97,1.3632,1.76,1.0728,2.07,98.6729,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
PRISPST_glass 34,53.2952,0.44,17.1353,0.56,4.6419,1.05,3.3529,3.57,0.2081,49.25,8.0385,0.69,0.0632,21.38,0.0561,67.87,0.3346,9.56,0,NA,0.1747,13.12,9.8374,0.97,1.4546,1.70,1.1099,2.02,99.7024,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
PRISPST_glass 35,52.6552,0.45,17.2554,0.55,4.6814,1.05,3.2122,3.66,0.2442,43.10,7.888,0.70,0.0131,87.91,0.0329,112.83,0.2601,11.50,0.027,92.84,0.1668,13.64,9.7787,0.97,1.3901,1.74,1.0721,2.07,98.6772,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
PRISPST_glass 36,52.2371,0.45,16.9486,0.56,4.6072,1.06,3.3948,3.55,0.0977,95.82,8.0299,0.69,0.0449,28.55,0,NA,0.3234,9.80,0,NA,0.1765,13.00,10.0643,0.96,1.368,1.75,1.0905,2.05,98.3829,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
PRISPST_glass 37,52.148,0.45,16.7993,0.56,4.6902,1.05,3.1908,3.67,0,NA,7.9683,0.70,0.0321,38.36,0,NA,0.3195,9.88,0,NA,0.1411,15.75,9.8098,0.97,1.3636,1.76,1.0537,2.09,97.5164,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
PRISPST_glass 38,53.4835,0.44,16.7666,0.56,4.677,1.05,3.2654,3.62,0,NA,7.8958,0.70,0.0429,29.70,0.0326,113.83,0.2913,10.57,0.0175,141.51,0.171,13.36,9.7123,0.98,1.4977,1.67,1.0553,2.09,98.9089,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
PRISPST_glass 39,52.4995,0.45,16.8431,0.56,4.6947,1.05,3.28,3.62,0.1592,61.97,7.9389,0.70,0.045,28.50,0.0162,224.82,0.3088,10.13,0.0238,104.89,0.1778,12.92,9.8596,0.97,1.3963,1.74,1.0653,2.08,98.3082,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
PRISPST_glass 40,52.9388,0.45,16.6752,0.56,4.6401,1.05,3.1788,3.68,0.0123,700.13,7.9632,0.70,0.0417,30.45,0.0254,144.92,0.3394,9.46,0.0493,52.25,0.2153,11.02,9.7167,0.98,1.3854,1.74,1.1239,2.01,98.3055,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
NIST610 5,68.3839,0.39,1.8547,1.82,0.0841,15.15,13.3083,1.77,0.181,55.46,11.294,0.58,0.0366,34.14,0.1221,33.30,0.1467,18.04,0.0573,45.38,0.0593,34.44,0.0407,46.35,0.0498,17.23,0.042,29.11,95.6605,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
NIST610 6,69.04,0.39,1.8944,1.80,0.0796,15.90,13.4874,1.75,0,NA,11.1953,0.58,0.0262,46.07,0.1437,28.86,0.069,34.53,0.0442,57.92,0.0661,31.13,0.0715,27.38,0.046,18.47,0.0594,20.98,96.2228,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
BCR2G 3,54.9357,0.44,13.4587,0.63,3.4166,1.24,3.0727,3.74,0,NA,7.0295,0.74,0.0227,52.53,0,NA,0.3621,9.03,0.0221,112.72,0.1783,12.89,12.862,0.84,1.6694,1.57,2.2436,1.32,99.2734,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
BHVO2G 3,49.7759,0.46,13.6073,0.63,7.076,0.84,2.364,4.29,0.1616,61.17,11.0938,0.59,0.0272,44.53,0,NA,0.2903,10.60,0.0811,32.95,0.1644,13.81,11.2082,0.91,0.5243,3.04,2.6626,1.20,99.0367,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.98
VGA99 3,51.1258,0.45,12.515,0.65,5.044,1.01,2.7296,3.98,0,NA,9.1277,0.65,0.0309,39.69,0.0428,87.69,0.4715,7.52,0.0221,112.72,0.1582,14.27,13.9158,0.81,0.7931,2.38,3.8149,0.98,99.7914,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.97
ATHOG 3,73.9374,0.38,12.1405,0.66,0.0937,13.79,3.5619,3.46,0.0763,120.30,1.6834,1.63,0.0355,35.07,0.0062,580.56,0,NA,0,NA,0.1252,17.48,3.3971,1.70,2.5272,1.26,0.2136,6.73,97.798,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All oxide concentrations are reported in mass percent, and errors are reported in relative percent error.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
