Sample_name,line_no,Na-23,Mg-24,Al-27,K-39,Ca-43,Ca-44,Ti-47,Cr-52,Mn-55,Fe-57,Ni-60,Cu-63,Zn-66,Rb-85,Sr-88,Y-89,Zr-90,Nb-93,Ba-138,La-139,Ce-140,Pr-141,Nd-146,Sm-147,Eu-153,Gd-157,Tb-159,Dy-163,Ho-165,Er-166,Tm-169,Yb-172,Lu-175,Hf-178,Ta-181,Pb-208,Th-232,U-238
PST3-HH-13 ( line 4 ),64,14277.13946,5647.088948,65909.44872,8726.714273,27024.38407,25113.86842,1385.122638,0,362.6189957,13651.31719,3.850722104,13.43601828,34.14123211,21.71294925,364.7061462,9.662228314,86.22278796,3.960519201,396.6567913,15.55528546,30.40245245,3.229956421,12.67099496,1.818440025,0.895473206,1.650954824,0.388347153,2.24642357,0.396596875,0.973759301,0,0.947883875,0.047108061,2.012879905,0.179675886,8.50141039,2.640226819,0.554532382
PST3-HH-13 ( line 5 ),65,12194.59123,7258.987036,54930.51802,8521.444894,29569.5377,27191.16371,1421.18317,0,433.7192222,16314.88829,5.62797846,14.41318324,34.72609262,20.863222,306.1891616,23.07397806,94.39126261,4.215010394,373.8777652,31.0751912,67.2707786,9.898022009,40.74991978,7.879906775,1.033238315,9.179308821,0.436890547,3.617122698,0.694044531,2.225735546,0.412836388,1.516614201,0.565296729,3.019319857,0.26951383,7.795517109,2.581555112,0.842889221
PST3-HH-14 ( line 1 ),66,12021.65334,6176.949033,51501.31344,9462.423202,20761.5903,18123.6996,1377.158349,0,343.9574733,14444.66287,2.073465748,17.43351132,31.61902117,24.006522,271.0575328,9.662228314,74.52860417,3.260668418,316.133359,13.73912628,30.65937459,3.552952063,16.72571334,3.333806712,0.551060435,2.641527718,0.291260365,0.761499515,0.446171484,0.556433886,0.137612129,0.568730325,0.329756426,1.610303924,0.089837943,6.649719319,1.877494627,0.310538134
PST3-HH-14 ( line 2 ),67,9985.642525,8433.114775,48002.5607,6591.329221,23930.16358,23937.31925,986.244485,0,433.6495246,14737.81601,3.258303319,11.67045885,30.08376234,17.78209716,306.787641,10.65729362,136.2459682,3.658310908,279.0111962,10.73184971,20.92202573,2.61267586,10.89705566,1.21229335,1.171003424,0.990572894,0.388347153,2.24642357,0.247873047,1.669301659,0.137612129,0.947883875,0.047108061,3.824471819,0.089837943,5.319775455,4.212628569,0.532351087
PST3-HH-14 ( line 3 ),68,9821.383321,5638.448025,50315.87804,4229.541036,24450.6332,21123.84735,714.5737296,0,278.528886,10274.10142,1.481046963,9.54956671,18.09412194,11.88236485,291.8703208,5.552175972,34.38439115,2.147269446,248.3487571,9.021829702,19.86864498,2.117415876,11.40389546,0.606146675,0.619942989,1.650954824,0.24271697,0.951874394,0.446171484,1.251976245,0.09174142,0.568730325,0.188432243,0.805151962,0,6.44511257,0.704060485,0.177450362
PST3-HH-14 ( line 4 ),69,11014.58531,8115.366954,38428.00214,8018.664071,14355.81037,13530.49093,1242.207892,0,365.7815227,11907.05601,4.146931497,9.993732603,28.87748755,20.82868024,183.2061295,13.84438684,132.650443,5.010295374,319.8519501,9.611491774,21.1104353,3.337621635,14.69835415,4.8491734,0.826590652,2.311336754,0.582520729,1.903748788,0.74361914,2.643060961,0.183482839,2.085344526,0.235540304,2.415455885,0.449189716,5.524382203,2.933585355,0.975976993
PST3-HH-14 ( line 5 ),70,13373.9848,18066.91365,60233.91423,9777.342029,32197.6233,30427.81434,1821.831165,0,608.0807442,22165.58367,5.924187853,18.64941545,47.28231663,21.07047255,340.4900655,12.11383848,66.44739955,3.817367904,401.3369037,15.27224767,34.08500303,4.414273775,16.21887354,4.243026725,0.964355761,2.641527718,0.533977335,2.665248304,0.594895312,0.83465083,0.275224259,0.947883875,0.094216122,2.012879905,0.089837943,12.41962962,2.053509748,0.532351087
PST3-HH-15 ( line 1 ),71,12407.78837,138.2219953,60622.88731,809.4922188,22786.27431,22195.47908,228.3096251,0,18.05166881,1938.475132,2.962093926,2.498433151,14.29252865,2.417923079,416.3361525,4.744586739,23.21382753,1.033870474,239.1903987,9.375626945,20.93915387,2.296857899,10.39021586,1.818440025,0.688825543,2.311336754,0,0.951874394,0.099149219,0.83465083,0.09174142,0,0.188432243,0,0,3.273707972,0.234686828,0.088725181
PST3-HH-15 ( line 2 ),72,12114.47577,122.2947315,90517.58364,492.2221878,43753.76468,37787.82593,129.4197002,0,21.0835128,2281.097863,1.481046963,2.276350204,2.741533628,0.79446044,609.5109821,0.50474327,4.014421302,0.159056996,201.1757739,3.655904847,4.15357449,0.502437665,0.506839798,0,0.757708098,0,0,0,0,0,0,0,0,0,0,3.222556285,0,0.022181295
PST3-HH-15 ( line 3 ),73,12315.35723,1943.508528,78003.21844,1114.232701,33779.05022,33695.34368,405.6256759,0,116.9786472,5219.50003,3.554512712,6.040656151,19.26384296,4.379894949,556.9698581,1.644020937,12.74142413,0.954341976,275.3244788,4.363499333,9.591759648,0.897210117,3.04103879,1.21229335,1.239885978,0.924534701,0,0.190374879,0.198298437,0.556433886,0,0.189576775,0,0.603863971,0,4.173977665,0.234686828,0.088725181
PST3-HH-15 ( line 4 ),74,13783.80622,33758.43649,58540.88833,7371.592105,29592.41548,28453.33113,1482.353336,0,639.8933256,22054.73514,14.51426024,18.65496753,54.68445743,20.13784507,314.8805104,14.27702393,93.86764244,3.324291217,348.4744763,15.27224767,33.10013486,5.340194615,19.51333223,2.060898695,1.102120869,3.632100613,0.184464898,2.474873425,0.495746093,1.530193188,0.321094969,2.464498076,0.094216122,2.818031866,0.179675886,11.47843858,1.642807799,0.554532382
PST3-HH-15 ( line 5 ),75,13920.96507,7019.89237,62540.62921,7776.163964,26661.19922,25947.59369,1181.756724,0,453.7006422,15614.29809,6.220397245,13.97456942,44.37629099,20.05839903,359.7351949,9.157485044,51.73367278,2.624440434,417.0187333,15.59066518,31.28883382,2.860305852,15.71203375,1.818440025,0.964355761,1.650954824,0.388347153,2.284498546,0.644469921,1.112867773,0.183482839,0.7583071,0.141324182,1.409015933,0.359351773,8.839011525,1.173434142,0.332719429
