Sample ID,SiO2,Si_err,Al2O3,Al_err,MgO,Mg_err,Na2O,Na_err,F,F_err,CaO,Ca_err,Cl,Cl_err,SO3,S_err,P2O5,P_err,Cr2O3,Cr_err,MnO,Mn_err,FeO,Fe_err,K2O,TiO2,Total,Si(L-value),Al(L-value),Mg(L-value),Na(L-value),Na(L-value),F(L-value),Na(L-value),Ca(L-value),Cl(L-value),S(L-value),P(L-value),Cr(L-value),Mn(L-value),Fe(L-value),Current,,
PRISPST_glass 37,52.148,0.46,16.7993,0.58,4.6902,1.04,3.1908,3.9267,0,100,7.9683,0.7,0.0321,36.02,0,900,0.3195,11.21,0,100,0.1411,15.17,9.8098,0.97,1.3636,1.0537,97.5164,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
PRISPST_glass 38,53.4835,0.46,16.7666,0.58,4.677,1.04,3.2654,3.8200,0,100,7.8958,0.7,0.0429,25.44,0.0326,75.51,0.2913,12.6,0.0175,138.77,0.171,12.15,9.7123,0.98,1.4977,1.0553,98.9089,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
PRISPST_glass 39,52.4995,0.46,16.8431,0.58,4.6947,1.04,3.28,3.9000,0.1592,50.44,7.9389,0.7,0.045,27.15,0.0162,854.41,0.3088,11.59,0.0238,100,0.1778,11.61,9.8596,0.97,1.3963,1.0653,98.3082,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
PRISPST_glass 40,52.9388,0.46,16.6752,0.59,4.6401,1.05,3.1788,3.9200,0.0123,781.03,7.9632,0.7,0.0417,41.18,0.0254,393.7,0.3394,10.3,0.0493,48.81,0.2153,9.68,9.7167,0.98,1.3854,1.1239,98.3055,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
NIST610 5,68.3839,0.39,1.8547,1.87,0.0841,15.46,13.3083,1.7833,0.181,26.73,11.294,0.59,0.0366,32.66,0.1221,34.31,0.1467,20.44,0.0573,46.86,0.0593,28.63,0.0407,45.6,0.0498,0.042,95.6605,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
NIST610 6,69.04,0.39,1.8944,1.87,0.0796,16.14,13.4874,1.7633,0,100,11.1953,0.59,0.0262,66.67,0.1437,22.42,0.069,40.93,0.0442,59.6,0.0661,26.96,0.0715,26.64,0.046,0.0594,96.2228,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
BCR2G 3,54.9357,0.45,13.4587,0.66,3.4166,1.25,3.0727,4.0533,0,100,7.0295,0.75,0.0227,129.1,0,100,0.3621,9.86,0.0221,104,0.1783,12.26,12.862,0.85,1.6694,2.2436,99.2734,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
BHVO2G 3,49.7759,0.48,13.6073,0.66,7.076,0.85,2.364,4.5433,0.1616,78.07,11.0938,0.59,0.0272,40.02,0,781.02,0.2903,12.13,0.0811,29.02,0.1644,12.85,11.2082,0.91,0.5243,2.6626,99.0367,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.98,,
VGA99 3,51.1258,0.47,12.515,0.69,5.044,1.02,2.7296,4.3367,0,100,9.1277,0.65,0.0309,36.24,0.0428,458.26,0.4715,8.58,0.0221,102.02,0.1582,13.37,13.9158,0.81,0.7931,3.8149,99.7914,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.97,,
ATHOG 3,73.9374,0.38,12.1405,0.67,0.0937,13.41,3.5619,3.8200,0.0763,135.4,1.6834,1.63,0.0355,34.8,0.0062,380.79,0,100,0,100,0.1252,15.68,3.3971,1.72,2.5272,0.2136,97.798,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All oxide concentrations are reported in mass percent, and relative errors are reported in percent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na errors are averaged over all detectors used to measure Na content. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
